,skill_id,skill_title,skill_type,skill_description,skill_description_combined
50,00473f10152d359f643379ae5e78ab06bd966d65496a9916c043567af1f54236,heavy lifting machinery operation,tsc,operate heavy lifting machinery and the appropriate deployment of machinery for maintenance activities,heavy lifting machinery operation-operate heavy lifting machinery and the appropriate deployment of machinery for maintenance activities
51,bbb5084681637a748dfd543027f79106847beee2dfff68168e2104029f9f4484,professional standards,tsc,advocate standards development to promote public confidence and build trust in society,professional standards-advocate standards development to promote public confidence and build trust in society
52,29ccce2ab3ce363eb4c1e78505f71064cde356989233f6bed433915163b662de,succession planning,tsc,develop succession strategies for critical roles in alignment with organisation's strategic direction and priorities,succession planning-develop succession strategies for critical roles in alignment with organisation's strategic direction and priorities
53,0b642d2e9f0f4034df48445d00eb04b446a2fad18fff814485dcd93244df536a,unit load devices operations,tsc,"implement and develop standards for the handling, deployment and maintenance of unit load devices (ulds)","unit load devices operations-implement and develop standards for the handling, deployment and maintenance of unit load devices (ulds)"
54,c5a7901a13ba28f43ef605fd91e55640ed5a6009a47043eb908239eff954dc12,accounting standards,tsc,apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,accounting standards-apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements
55,cd3b6af564fc9d5e0cc6ed9a72896afd06fa5e39a6eaac9a66d82919898b3469,communication backbone system maintenance,tsc,implement preventive and corrective maintenance activities of communication backbone system,communication backbone system maintenance-implement preventive and corrective maintenance activities of communication backbone system
56,6bf521bf2050832f79dc839ac427b765d539e23b89bdd3bdbd7e83dde03e29f7,real-time rendering optimisation,tsc,"optimise real-time engine settings, assets, and techniques to achieve desired visual quality and performance in virtual environments","real-time rendering optimisation-optimise real-time engine settings, assets, and techniques to achieve desired visual quality and performance in virtual environments"
57,0498de97d66872ea9ee31eaac8d4fac0f19643d8d5ee77326144576cc6d1461d,ship seaworthiness and pollution prevention,tsc,ensure ship stability and compliance to pollution-prevention measures,ship seaworthiness and pollution prevention-ensure ship stability and compliance to pollution-prevention measures
58,efa2748d93a1230c5c39a6b3fbf3a3aed0d3be56a7b4171791961f2381f1d787,client education in rehabilitation therapy,tsc,communicate with clients and caregivers to deliver and facilitate the continuity of care,client education in rehabilitation therapy-communicate with clients and caregivers to deliver and facilitate the continuity of care
59,525a58c1253f09a504d2f5eb9a7962fb79ae399813ac515da24987f7add6aa25,aircraft navigation and automated flight systems maintenance,tsc,"maintain aircraft navigation and automated flight systems using appropriate resources and conduct functional tests after maintenance work. this includes maintenance of radar navigation, radio and inertial navigation, and automated flight control systems.","aircraft navigation and automated flight systems maintenance-maintain aircraft navigation and automated flight systems using appropriate resources and conduct functional tests after maintenance work. this includes maintenance of radar navigation, radio and inertial navigation, and automated flight control systems."
60,000e6f0270c91c6861fbc2fec0c290c8334c51ace6f0970c21ba4b98d1e175d1,first-responder anti-harassment support provision,tsc,"prevent, detect and protect from harassment in the workplace to create safety for colleagues","first-responder anti-harassment support provision-prevent, detect and protect from harassment in the workplace to create safety for colleagues"
61,b7b9f7cb43ae108bbcb5cc5684744ae59fec7a119b08edd18fa3a241e3ba2e84,tour guide operations,tsc,"manage tour guiding operations and duties, including the development of policies and procedures in compliance with legal and regulatory requirements of local tour operations","tour guide operations-manage tour guiding operations and duties, including the development of policies and procedures in compliance with legal and regulatory requirements of local tour operations"
62,e2f9c98121a0c1b68a530e0d3cf847375196cd581c884710a476ab84baebcd9c,indoor environmental quality improvement,tsc,manage indoor environmental quality (ieq) through the identification and analysis of conditions inside buildings,indoor environmental quality improvement-manage indoor environmental quality (ieq) through the identification and analysis of conditions inside buildings
63,e42d922a3432c866a95e1c522b235cee5de845855f3672ecd5c5b292f4e5e5ff,cargo lifting,tsc,conduct cargo operations associated with heavy lift freight including oversized loads,cargo lifting-conduct cargo operations associated with heavy lift freight including oversized loads
64,c9f3d61c970c7fafe4da72383415466485b2e16b6d77dc66bfe57f30b488020d,process analytical technology implementation,tsc,"apply process analytical technology to design, analyse and control manufacturing processes to enhance production efficiency and quality","process analytical technology implementation-apply process analytical technology to design, analyse and control manufacturing processes to enhance production efficiency and quality"
65,31e1509ac007488f87326335b8e2e9d5e20efd898b6427927e2de19e96042bc4,human resource service quality management,tsc,"develop and implement human resource (hr) service management frameworks, incorporating service quality standards, agreements and metrics","human resource service quality management-develop and implement human resource (hr) service management frameworks, incorporating service quality standards, agreements and metrics"
66,e29e97a18af1b1ebc7586c6abb592cfa6a9cd33fd9d406eb7932f8de66be0a14,rigging and signalling,tsc,"execute load-lifting operations on cargo with proper adherence to workplace safety and health (wsh) requirements, signalling and communication protocol and diligent care for lifting equipment","rigging and signalling-execute load-lifting operations on cargo with proper adherence to workplace safety and health (wsh) requirements, signalling and communication protocol and diligent care for lifting equipment"
67,e6a9e0c207a059d9fec6057e4c2fbe7002417a8f8a6b9efbf77627c75c449c11,stunts and fight performance,tsc,"perform  action scenes and work  with high-risk physical acts including but not limited to; simulation of violence, fights, stunts and falling","stunts and fight performance-perform  action scenes and work  with high-risk physical acts including but not limited to; simulation of violence, fights, stunts and falling"
